image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/e/peyote_zkittlez_c_2.jpg,Peyote Zkittlez Feminised Seeds ,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website12.jpg,Peyote Forum Feminised Seeds ,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website14.jpg,Seedsman CBG #1 Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/e/peyote_wi-fi_cbd_2.1.jpg,Peyote Wi-Fi CBD 2:1 Feminised Seeds ,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/z/k/zkittlezauto1_1.jpg,Zkittlez Auto Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/i/m/img_1853_cookies_chill_2000_av9ghcmjzjsxftid.jpg,Cookies Chill CBD 2:1 Feminised Seeds ,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/o/doctor_seedsman.jpg,Doctor Seedsman CBD 30:1 Feminised Seeds ,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/mama_mia_1.png,Mama Mia Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/mazari-fem_lckncb57cmkwjtjh.jpg,Mazari Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/a/candy_cream.png,Candy Cream Auto Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website23.jpg,Jack Herer Auto Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/n/l/nlauto_2.jpg,Northern Lights Auto Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/p/i/pinkk_1.jpg,Pink Kush CBD 30:1 Auto Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website_converted_v226.jpg,Alaskan Purple Auto Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website27.jpg,Alaskan Purple Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website28.jpg,Gelat.OG Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website29.jpg,Amnesia FAST Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/b/bb_fast_293.jpg,Bruce Banger FAST Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website32.jpg,Bruce Banger Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website34.jpg,Cream & Cheese CBD 1:1 Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/h/white1_1.jpg,The White OG Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website39.jpg,Badazz OG Cheese Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/b/sbg1_1.jpg,Strawberry Banana Grape Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/e/lemchel3_2.jpg,Lemonchello Haze Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/w/wwfast1_2.jpg,White Widow FAST Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/j/h/jhfast1.jpg,Jack Herer FAST Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website45.jpg,Amnesia Regular Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/j/h/jh1_1.jpg,Jack Herer Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website47.jpg,White Widow Auto Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website48.jpg,Amnesia Auto Feminised Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/w/wwreg_2.jpg,White Widow Regular Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website50.jpg,Sugar Haze Regular Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website51.jpg,Purple Bud Regular Seeds,Seedsman Seeds,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/o/r/original_skunk_1.jpg,Original Skunk #1 Regular Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/t/strain_images_for_website52.jpg,Original Afghani #1 Regular Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/a/mama_thai.png,Mama Thai Regular Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/e/a/early_durban.png,Early Durban Regular Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/l/e/lemauto_1.jpg,Lemon Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/k/u/kush_auto.png,Kush Auto Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/i/mini_gun_auto.png,Mini Gun Auto Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/w/ww_b_4.jpg,White Widow Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,Cali Critical Mass Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,Runtz Stoned Cowboy Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/placeholder/default/IMAGE_COMING_SOON_1.png,Blue Dream FAST Feminised Seeds,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/o/doctor_seedsman_cbd-auto-web_5b1mbjr1yprsmc9s.png,Doctor Seedsman CBD 30:1 Auto Feminised Seeds ,Seedsman Seeds,13.19
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/_/b.i.g._auto.png,B.I.G. Auto Feminised Seeds ,Seedsman Seeds,54.41
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/l/blue_ice_og_2.png,Blue Ice OG Feminised Seeds,Seedsman Seeds,54.41
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/i/girl_scout_crack.png,Girl Scout Crack Feminised Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/s/w/sweet_sour_widow.png,Sweet 'n' Sour Widow CBD Regular Seeds,Seedsman Seeds,12.09
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/i/hindu_kush.png,Hindu Kush Regular Seeds,Seedsman Seeds,13.19
